rank,source_type,sample_id,light_source_name,sigma_ev,absorption_unit,light_source_unit,absorbed_flux_unit,reference_concentration_molar,reference_path_cm,light_flux_total,td_method_basis,td_solvent,gaussian_lambda_max_nm,gaussian_molar_absorptivity_max,gaussian_absorptance_max,gaussian_absorbed_flux,gaussian_absorbed_fraction,gaussian_shape_overlap,lorentzian_lambda_max_nm,lorentzian_molar_absorptivity_max,lorentzian_absorptance_max,lorentzian_absorbed_flux,lorentzian_absorbed_fraction,lorentzian_shape_overlap,delta_absorbed_flux,delta_absorbed_fraction,delta_shape_overlap,abs_delta_absorbed_fraction
13,theoretical,4g_td,LEDB3,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3155.0429878235573,b3lyp/6-31g,,800.0,31238.80564063707,0.5129069380768544,865.1001431827123,0.274195992422748,0.7152817275307217,800.0,21810.560399222522,0.3948063033569803,745.6257293109262,0.23632823140241302,0.8248141524003904,119.47441387178606,0.037867761020334983,-0.10953242486966863,0.037867761020334983
14,theoretical,4g_td,AM15G,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,W m^-2,1e-05,1.0,589.120214277655,b3lyp/6-31g,,800.0,31238.80564063707,0.5129069380768544,159.6831808152138,0.2710536439680788,0.5846119979005773,800.0,21810.560399222522,0.3948063033569803,134.20456982874114,0.22780506690522406,0.6618446224990249,25.47861098647266,0.04324857706285473,-0.0772326245984476,0.04324857706285473
15,experimental,Fluorescein,CIEFL10,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3008.8121915614956,,,224.0,0.0,0.9998942695696258,814.126783869841,0.2705807913678156,0.3554126860997563,224.0,0.0,0.9998942695696258,814.126783869841,0.2705807913678156,0.3554126860997563,0.0,0.0,0.0,0.0
16,experimental,Fluorescein,LEDB4,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3041.7712037889564,,,224.0,0.0,0.9998942695696258,783.9255466060235,0.25772008941025326,0.32673244442010846,224.0,0.0,0.9998942695696258,783.9255466060235,0.25772008941025326,0.32673244442010846,0.0,0.0,0.0,0.0
17,theoretical,4g_td,LEDB4,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3131.547799407255,b3lyp/6-31g,,800.0,31238.80564063707,0.5129069380768544,797.730172933853,0.25473989989386364,0.7772674381000193,800.0,21810.560399222522,0.3948063033569803,702.0669399960465,0.22419167292574457,0.8622745743622758,95.66323293780658,0.03054822696811907,-0.08500713626225653,0.03054822696811907
18,experimental,Rhodamine_6G,CIEFL10,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3008.8121915614956,,,529.0,0.0,0.9307340173133271,759.0172445074666,0.25226474641262214,0.5677069240780793,529.0,0.0,0.9307340173133271,759.0172445074666,0.25226474641262214,0.5677069240780793,0.0,0.0,0.0,0.0
19,theoretical,4c_td,LEDB2,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3185.4133673129318,b3lyp/6-31g,,682.2682268226822,16066.975703562592,0.3092351295580885,801.4034579677772,0.25158538800375674,0.950305902253067,683.5883588358836,11851.443221021265,0.23882315638072338,608.3470064254684,0.19097898334577593,0.9340587298547331,193.05645154230876,0.06060640465798081,0.016247172398333842,0.06060640465798081
20,theoretical,3g_td,AM15G,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,W m^-2,1e-05,1.0,589.120214277655,b3lyp/6-31g,,531.8331833183317,25704.33610506488,0.4467051358894837,148.20149650366818,0.25156410001205654,0.6437253268490498,536.8136813681368,18438.107898461698,0.34593799549030013,129.20483998695119,0.2193182933730676,0.7572106837295302,18.996656516716996,0.03224580663898893,-0.11348535688048034,0.03224580663898893
21,experimental,Rhodamine_B,LEDB4,0.3,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,relative_integral,0.0,0.0,3041.7712037889564,,,542.0,0.0,0.9127510920144639,736.723728619867,0.2422022168209671,0.36143767427614615,542.0,0.0,0.9127510920144639,736.723728619867,0.2422022168209671,0.36143767427614615,0.0,0.0,0.0,0.0
22,theoretical,4c_td,LEDB3,0.3,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",relative,relative_integral,1e-05,1.0,3155.0429878235573,b3lyp/6-31g,,682.2682268226822,16066.975703562592,0.3092351295580885,757.7033994347767,0.24015628387918198,0.9492295600449867,683.5883588358836,11851.443221021265,0.23882315638072338,579.1646081246234,0.18356789760387654,0.9392845159994535,178.53879131015321,0.056588386275305436,0.009945044045533202,0.056588386275305436
