source_type,sample_id,light_source_name,plot_ms,gaussian_parse_tddft_ms,gaussian_broadening_ms,gaussian_light_source_ms,gaussian_integrals_ms,gaussian_total_sample_ms,lorentzian_parse_tddft_ms,lorentzian_broadening_ms,lorentzian_light_source_ms,lorentzian_integrals_ms,lorentzian_total_sample_ms,total_pair_ms,total_with_plot_ms
theoretical,3e_td,AM15G,1567.5443000000087,0.4941000006510876,0.6566000010934658,0.06769999890821055,1.600999996298924,2.828500000759959,0.4941000006510876,0.23720000172033906,0.04520000220509246,1.4976000020396896,10.719599995354656,13.548099996114615,1581.0923999961233
theoretical,3e_td,LEDB4,1441.708700003801,0.4941000006510876,0.6566000010934658,0.04030000127386302,1.4394999961950816,4.325599998992402,0.4941000006510876,0.23720000172033906,0.03840000135824084,1.4758000033907592,12.250399995537009,16.57599999452941,1458.2846999983303
theoretical,3e_td,LEDB2,1561.221400006616,0.4941000006510876,0.6566000010934658,0.039000005926936865,1.4544000005116686,5.831399997987319,0.4941000006510876,0.23720000172033906,0.037099998735357076,1.7076000003726222,14.002099997014739,19.833499995002057,1581.054900001618
theoretical,3e_td,LEDB3,1609.8127999939607,0.4941000006510876,0.6566000010934658,0.03819999983534217,1.4936000006855465,7.37210000079358,0.4941000006510876,0.23720000172033906,0.04099999932805076,1.6019999966374598,15.6591999984812,23.03129999927478,1632.8440999932354
theoretical,3e_td,CIEFL10,1430.1618000026792,0.4941000006510876,0.6566000010934658,0.03840000135824084,1.5120999960345216,8.93029999861028,0.4941000006510876,0.23720000172033906,0.04060000355821103,1.5725999983260408,17.28210000146646,26.21240000007674,1456.374200002756
theoretical,3f_td,AM15G,1608.6982000051648,0.47789999371161684,0.6030000004102476,0.04629999602911994,1.5036999975563958,2.637099998537451,0.47789999371161684,0.20229999790899456,0.045400003727991134,1.4506000006804243,10.275299995555542,12.912399994092993,1621.6105999992578
theoretical,3f_td,LEDB4,1380.457600003865,0.47789999371161684,0.6030000004102476,0.03789999755099416,1.4320000045699999,4.1186999951605685,0.47789999371161684,0.20229999790899456,0.036299999919719994,1.4750999980606139,11.794099998951424,15.912799994111992,1396.370399997977
theoretical,3f_td,LEDB2,1412.5399000040488,0.47789999371161684,0.6030000004102476,0.03619999915827066,1.4522999990731478,5.61559999914607,0.47789999371161684,0.20229999790899456,0.040899998566601425,1.5562999979010783,13.40619999973569,19.02179999888176,1431.5617000029306
theoretical,3f_td,LEDB3,1511.6826000012225,0.47789999371161684,0.6030000004102476,0.037099998735357076,1.4382000008481555,7.098199996107724,0.47789999371161684,0.20229999790899456,0.03760000254260376,1.7238000000361353,15.178199995716568,22.27639999182429,1533.9589999930467
theoretical,3f_td,CIEFL10,1454.839499994705,0.47789999371161684,0.6030000004102476,0.03659999492811039,1.4283999989856966,8.569699995859992,0.47789999371161684,0.20229999790899456,0.042400002712383866,1.4882999967085198,16.72569999936968,25.295399995229673,1480.1348999899346
theoretical,3g_td,AM15G,1658.1618999989587,0.4628999959095381,0.5907000013394281,0.044399996113497764,1.4578000045730732,2.561299996159505,0.4628999959095381,0.20809999841731042,0.044200001866556704,1.5916000047582202,10.394999997515697,12.956299993675202,1671.118199992634
theoretical,3g_td,LEDB4,1433.105100004468,0.4628999959095381,0.5907000013394281,0.03760000254260376,1.4566999961971305,4.066699999384582,0.4628999959095381,0.20809999841731042,0.03909999941242859,1.4499000026262365,11.894900002516806,15.961600001901388,1449.0667000063695
theoretical,3g_td,LEDB2,1519.8640000016894,0.4628999959095381,0.5907000013394281,0.0368999972124584,1.4503999991575256,5.562099999224301,0.4628999959095381,0.20809999841731042,0.03680000372696668,6.375500001013279,18.31829999719048,23.88039999641478,1543.7443999981042
theoretical,3g_td,LEDB3,1585.848700000497,0.4628999959095381,0.5907000013394281,0.03580000338843092,1.4463999978033826,7.052000000840053,0.4628999959095381,0.20809999841731042,0.04199999966658652,1.5392000059364364,19.912099996872712,26.964099997712765,1612.8127999982098
