light_source_name,rank,sample_id,source_type,absorption_unit,light_source_unit,gaussian_absorbed_fraction,lorentzian_absorbed_fraction,gaussian_shape_overlap,lorentzian_shape_overlap
AM15G,1,3e_td,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.3312806376262446,0.28472990505709816,0.7173293031215805,0.8079591779275814
AM15G,2,Fluorescein,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.27734989573873303,0.27734989573873303,0.3535070820671439,0.3535070820671439
AM15G,3,4g_td,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.2710536439680788,0.22780506690522406,0.5846119979005773,0.6618446224990249
AM15G,4,3g_td,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.25156410001205654,0.2193182933730676,0.6437253268490498,0.7572106837295302
AM15G,5,Rhodamine_6G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.19612489546881845,0.19612489546881845,0.24638166381634433,0.24638166381634433
AM15G,6,Rhodamine_B,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.19591170892397838,0.19591170892397838,0.24699568706344383,0.24699568706344383
AM15G,7,Eosin_Y,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.1805633907312021,0.1805633907312021,0.22495230593813964,0.22495230593813964
AM15G,8,4c_td,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.22301549084201766,0.17379033306687144,0.7952110296884214,0.8299042955948821
AM15G,9,Coumarin_6,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.1593223907328072,0.1593223907328072,0.2651767781496991,0.2651767781496991
AM15G,10,3f_td,theoretical,"absorptance (Beer-Lambert at c=1e-05 M, L=1 cm)",W m^-2 nm^-1,0.16897193763061627,0.14626194117657712,0.6037617831939711,0.7180561231744245
AM15G,11,Coumarin_314,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.10045613072874915,0.10045613072874915,0.1902295938643521,0.1902295938643521
AM15G,12,Coumarin_1,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.03076417399056257,0.03076417399056257,0.10447496917096342,0.10447496917096342
AM15G,13,Pyrene,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.013597085412103992,0.013597085412103992,0.029331671523281706,0.029331671523281706
