sample_id,rank,light_source_name,source_type,absorption_unit,light_source_unit,gaussian_absorbed_fraction,lorentzian_absorbed_fraction,gaussian_shape_overlap,lorentzian_shape_overlap
Coumarin_6,5,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.08047420454193234,0.08047420454193234,0.13523294725806348,0.13523294725806348
Coumarin_314,1,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.11803454776987946,0.11803454776987946,0.25550152218596744,0.25550152218596744
Coumarin_314,2,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.10325353650706558,0.10325353650706558,0.18018879442335853,0.18018879442335853
Coumarin_314,3,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.10045613072874915,0.10045613072874915,0.1902295938643521,0.1902295938643521
Coumarin_314,4,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.07907847936853221,0.07907847936853221,0.14213937642150498,0.14213937642150498
Coumarin_314,5,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.040996865355904,0.040996865355904,0.09073802324688933,0.09073802324688933
Eosin_Y,1,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.18874930347796723,0.18874930347796723,0.28467488533314256,0.28467488533314256
Eosin_Y,2,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.18388793674299944,0.18388793674299944,0.5221730269476736,0.5221730269476736
Eosin_Y,3,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.18154163333758797,0.18154163333758797,0.27082255009576134,0.27082255009576134
Eosin_Y,4,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.1805633907312021,0.1805633907312021,0.22495230593813964,0.22495230593813964
Eosin_Y,5,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.14041625453962178,0.14041625453962178,0.22196838838769722,0.22196838838769722
Fluorescein,1,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.27734989573873303,0.27734989573873303,0.3535070820671439,0.3535070820671439
Fluorescein,2,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.2705807913678156,0.2705807913678156,0.3554126860997563,0.3554126860997563
Fluorescein,3,LEDB4,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.25772008941025326,0.25772008941025326,0.32673244442010846,0.32673244442010846
Fluorescein,4,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.2210284109951957,0.2210284109951957,0.27928166147006,0.27928166147006
Fluorescein,5,LEDB2,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.14191026785164396,0.14191026785164396,0.18890573973471017,0.18890573973471017
Pyrene,1,AM15G,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",W m^-2 nm^-1,0.013597085412103992,0.013597085412103992,0.029331671523281706,0.029331671523281706
Pyrene,2,CIEFL10,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.00545977322051988,0.00545977322051988,0.09973258780837142,0.09973258780837142
Pyrene,3,LEDB3,experimental,"absorbance proxy (user-provided signal, no Beer-Lambert)",relative,0.005271889993024399,0.005271889993024399,0.012468153771382,0.012468153771382
